Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",5240,1535,3700
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,75,10,60
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",1565,185,1380
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,155,65,85
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",3450,1275,2175
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration","Total - Highest certificate, diploma or degree",15445,4430,11020
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",15450,4430,11020
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,935,180,755
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",9060,1635,7425
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration",    University certificate or diploma below bachelor level,785,305,485
Prince Edward Island / Île-du-Prince-Édouard,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",4675,2315,2360
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",2450,1070,1380
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",2450,1070,1380
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,15,15,0
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",200,60,140
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,95,45,50
Prince Edward Island / Île-du-Prince-Édouard,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",2140,950,1190
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",2005,1250,755
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",2010,1255,760
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,45,15,30
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",1245,745,495
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,75,45,30
Prince Edward Island / Île-du-Prince-Édouard,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",640,445,200
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",11880,11145,735
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",11880,11145,735
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,5135,4980,150
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",5460,5090,375
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,230,195,35
Prince Edward Island / Île-du-Prince-Édouard,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",1050,875,170
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",1710,1185,530
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",1710,1180,525
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,210,160,45
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",805,600,200
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,160,100,60
Prince Edward Island / Île-du-Prince-Édouard,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",535,315,215
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,"Total - Highest certificate, diploma or degree",10440,1620,8820
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,"  Postsecondary certificate, diploma or degree",10435,1620,8815
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,    Apprenticeship or trades certificate or diploma,775,130,645
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",5910,665,5250
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,    University certificate or diploma below bachelor level,770,75,695
Prince Edward Island / Île-du-Prince-Édouard,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",2980,750,2230
Prince Edward Island / Île-du-Prince-Édouard,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",4290,2350,1935
Prince Edward Island / Île-du-Prince-Édouard,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
