Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,    University certificate or diploma below bachelor level,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",117055,56360,60690
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",22425,12550,9875
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,31815,16050,15760
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",62815,27765,35055
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,9480,6685,2790
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",27860,10695,17160
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,3065,1055,2015
Prince Edward Island / Île-du-Prince-Édouard,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",22410,9320,13090
Prince Edward Island / Île-du-Prince-Édouard,  Education,"Total - Highest certificate, diploma or degree",5075,1270,3805
Prince Edward Island / Île-du-Prince-Édouard,  Education,"  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Education,"  Postsecondary certificate, diploma or degree",5075,1270,3810
Prince Edward Island / Île-du-Prince-Édouard,  Education,    Apprenticeship or trades certificate or diploma,40,0,35
Prince Edward Island / Île-du-Prince-Édouard,  Education,"    College, CEGEP or other non-university certificate or diploma",485,65,420
Prince Edward Island / Île-du-Prince-Édouard,  Education,    University certificate or diploma below bachelor level,455,95,360
Prince Edward Island / Île-du-Prince-Édouard,  Education,"    University certificate, diploma or degree at bachelor level or above",4090,1105,2985
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",1370,670,705
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",1375,670,705
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,135,90,45
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",775,395,380
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,70,35,30
Prince Edward Island / Île-du-Prince-Édouard,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",395,140,255
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,"Total - Highest certificate, diploma or degree",2905,1245,1665
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,"  No certificate, diploma or degree",0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,"  Postsecondary certificate, diploma or degree",2910,1245,1665
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,    Apprenticeship or trades certificate or diploma,10,0,10
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,"    College, CEGEP or other non-university certificate or diploma",265,80,185
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,    University certificate or diploma below bachelor level,210,50,165
Prince Edward Island / Île-du-Prince-Édouard,  Humanities,"    University certificate, diploma or degree at bachelor level or above",2420,1120,1305
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",5235,1535,3705
Prince Edward Island / Île-du-Prince-Édouard,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
